"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"hsa-let-7a-1" 21840.3024340347 -0.0337663349529276 0.105959843581097 -0.318671053219179 0.749975967292031 0.915511203315947
"hsa-let-7a-2" 21795.4830084644 -0.0306147574466216 0.106001850778006 -0.288813423746123 0.772724159003979 0.924046047710706
"hsa-let-7a-3" 21923.7405431431 -0.0285999750847597 0.105578430948256 -0.270888427000553 0.786476846274566 0.930144070042447
"hsa-let-7b" 36462.5977777766 0.0207948211027001 0.0965643071426937 0.215346867988929 0.829496891310769 0.945287374243962
"hsa-let-7c" 5260.60615393867 -0.0142178870275578 0.111570310907584 -0.127434322911717 0.898596651924906 0.968636873772657
"hsa-let-7d" 1436.88920119602 0.0522718290608951 0.0613106128818923 0.852573911821606 0.393895634920214 0.688682045570181
"hsa-let-7e" 3211.30135873516 -0.168405340987562 0.130603977062286 -1.28943501396782 0.197246895281775 0.520698019813066
"hsa-let-7f-1" 12218.6171656614 -0.18882835102251 0.185791904226573 -1.01634326753137 0.309465951383763 0.63396830536224
"hsa-let-7f-2" 12421.3259589678 -0.192351403956779 0.186704765183971 -1.03024367785817 0.302895630837237 0.63396830536224
"hsa-let-7g" 1723.28998686184 -0.196015135575716 0.103060767268274 -1.90193747602786 0.0571793290686552 0.250517410153702
"hsa-let-7i" 1293.23323531281 0.0660331854112644 0.0756390264604853 0.873004168631928 0.382660805561845 0.675819561608221
"hsa-mir-1-1" 17.4639784373651 -0.552398297905558 0.22191229654489 -2.48926403135941 0.0128007861607002 0.0991146585585643
"hsa-mir-1-2" 18.6387101580435 -0.512364923994179 0.221252202299442 -2.31575061703 0.020571888962023 0.132737664493053
"hsa-mir-100" 12438.2997136365 0.535458487109067 0.148114711399215 3.61516072273091 0.000300161343405342 0.00739488400571344
"hsa-mir-101-1" 16907.3729663269 0.106192626592644 0.1041022318486 1.02008021064413 0.307690421288398 0.63396830536224
